id,correcta,puntaje_obtenido,pregunta_id,respuesta_id,quizUser_id,nombreUser_id,uso_ayuda,dificultad,tiempo_pregunta
1378,1,2,31,84,142,142,0,2,35
1379,1,1,4,11,142,142,0,1,53
1380,1,2,28,77,142,142,0,2,46
1381,1,2,22,58,142,142,0,2,68
1382,1,2,15,38,142,142,0,2,123
1383,1,1,14,36,142,142,0,1,96
1384,1,1,1,1,142,142,0,1,133
1385,1,1,18,46,142,142,0,1,106
1386,1,1,9,21,142,142,0,1,141
1387,1,1,8,19,142,142,0,1,118
1388,0,0,6,14,143,143,0,1,5
1389,1,1,17,43,143,143,0,1,10
1390,0,0,26,71,143,143,0,2,14
1391,1,1,1,1,143,143,0,1,15
1392,1,2,15,38,143,143,0,2,22
1393,1,3,33,90,144,144,1,3,47
1394,1,2,28,77,144,144,1,2,44
1395,1,1,7,18,144,144,0,1,60
1396,1,1,3,7,144,144,0,1,50
1397,1,2,13,32,144,144,0,2,73
1398,1,3,24,66,144,144,0,3,66
1399,1,3,35,95,144,144,1,3,113
1400,1,2,20,53,144,144,1,2,104
1401,1,1,18,46,144,144,0,1,127
1402,0,0,14,35,144,144,1,1,144
1403,1,1,9,21,144,144,0,1,134
1404,1,1,2,5,144,144,0,1,157
1405,1,1,8,19,144,144,0,1,140
1406,1,1,4,11,144,144,1,1,211
1407,0,0,12,30,144,144,0,1,149
1408,1,1,1,1,144,144,0,1,220
1409,1,1,30,83,144,144,0,1,158
1410,1,1,17,43,144,144,0,1,243
1411,1,1,19,49,144,144,1,1,193
1412,0,0,6,14,144,144,0,1,251
1413,1,1,6,15,145,145,0,1,6
1414,1,2,28,77,145,145,0,2,9
1415,1,3,23,63,145,145,0,3,10
1416,1,3,34,93,145,145,0,3,11
1417,1,3,25,67,145,145,0,3,15
1418,1,3,29,78,145,145,0,3,22
1419,1,3,27,73,145,145,0,3,21
1420,1,3,24,66,145,145,0,3,24
1421,1,3,33,90,145,145,0,3,23
1422,1,3,35,95,145,145,0,3,29
1423,1,1,17,43,145,145,0,1,35
1424,1,2,32,87,145,145,0,2,32
1425,1,1,1,1,145,145,0,1,38
1426,1,2,22,58,145,145,0,2,43
1427,1,2,15,38,145,145,0,2,54
1428,1,2,10,24,145,145,0,2,51
1429,1,1,2,5,145,145,0,1,94
1430,1,1,14,36,145,145,0,1,64
1431,1,2,13,32,145,145,0,2,107
1432,1,1,7,18,145,145,0,1,82
1433,1,1,4,11,146,146,0,1,33
1434,1,2,20,53,146,146,0,2,22
1435,1,3,27,73,146,146,0,3,53
1436,1,3,33,90,146,146,0,3,43
1437,1,3,34,93,146,146,0,3,67
1438,1,3,23,63,146,146,0,3,56
1439,1,3,24,66,146,146,0,3,89
1440,1,2,28,77,146,146,0,2,102
1441,1,1,6,15,146,146,0,1,114
1442,1,1,1,1,146,146,0,1,110
1443,1,1,7,18,146,146,0,1,127
1444,1,1,3,7,146,146,0,1,127
1445,1,1,9,21,146,146,0,1,137
1446,1,1,18,46,146,146,0,1,147
1447,1,1,12,31,146,146,0,1,147
1448,1,1,14,36,146,146,0,1,173
1449,1,1,17,43,146,146,0,1,187
1450,1,1,8,19,146,146,0,1,186
1451,1,1,16,42,146,146,0,1,201
1452,1,1,2,5,146,146,0,1,208
1453,1,1,12,31,147,147,0,1,6
1454,1,2,22,58,147,147,0,2,6
1455,1,3,24,66,147,147,0,3,12
1456,1,3,29,78,147,147,0,3,11
1457,1,3,34,93,147,147,0,3,15
1458,1,3,27,73,147,147,0,3,15
1459,1,3,23,63,147,147,0,3,20
1460,1,3,25,67,147,147,0,3,24
1461,1,3,33,90,147,147,0,3,23
1462,1,3,35,95,147,147,0,3,23
1463,1,2,5,13,147,147,0,2,23
1464,0,0,26,71,147,147,0,2,23
1465,1,1,14,36,147,147,0,1,23
1466,1,2,21,55,147,147,0,2,23
1467,1,2,15,38,147,147,0,2,23
1468,1,1,19,49,147,147,0,1,23
1469,1,2,20,53,147,147,0,2,23
1470,1,2,28,77,147,147,0,2,23
1471,1,1,18,46,147,147,0,1,23
1472,1,2,10,24,147,147,0,2,23
1473,1,3,24,66,148,148,0,3,6
1474,1,3,33,90,148,148,0,3,5
1475,1,3,23,63,148,148,0,3,8
1476,1,3,29,78,148,148,1,3,15
1477,1,2,31,84,148,148,0,2,12
1478,1,3,34,93,148,148,0,3,19
1479,1,3,27,73,148,148,0,3,15
1480,1,3,35,95,148,148,0,3,23
1481,1,3,25,67,148,148,0,3,22
1482,1,2,22,58,148,148,0,2,27
